Python (TFM Abandono) | notebooks\CELDA_1.ipynb
Python (TFM Abandono) | notebooks\plantilla_fX_m0Y.ipynb
Python (TFM Abandono) | notebooks\CELDA_1.ipynb
Python (TFM Abandono) | notebooks\plantilla_fX_m0Y.ipynb
Python (TFM Abandono) | notebooks\fase0_configuracion\00_configuracion_proyecto.ipynb
Python (TFM Abandono) | notebooks\fase0_configuracion\00_ejecutar_proyecto.ipynb
Python (automl) | notebooks\fase0_configuracion\verificacion.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m00_indice.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m02_limpieza.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m03_reportes_clean.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m04a_union_tablas.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m04b_union_preinscripcion.ipynb
Python 3 | notebooks\fase1_transformacion\f1_m04c_correccion_notas.ipynb
Python 3 | notebooks\fase1_transformacion\f1_m04d_correccion_via_acceso.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m04_dataset_final.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m05_dashboard.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m05_m06_trazabilidad.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m06_grafo.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\f1_m06_grafo_pyvis.ipynb
Python (TFM Abandono) | notebooks\fase1_transformacion\index.html.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m00_indice.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m01_inspeccion.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m02_calidad.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m03_nulos.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m04_univariante_num.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m05_univariante_cat.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m06_evolucion.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m06_temporal.ipynb
Python (TFM Abandono) | notebooks\fase2_eda\f2_m07_conclusiones.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m00_indice.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m01_validacion.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m02_agregacion.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m03_features.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m04a_automl_target.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m04b_eda_target.ipynb
Python (automl) | notebooks\fase3_features\f3_m04_index.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m05_target_export.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m06_alerta_temprana.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m07_validacion.ipynb
Python (TFM Abandono) | notebooks\fase3_features\f3_m08_auditoria.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m00_indice.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m01_inspeccion.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m02_target.ipynb
Python [conda env:tfm_abandono] | notebooks\fase4_eda\f4_m03_distribuciones_num.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m04_distribuciones_cat.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m05_bivariante.ipynb
Python (automl) | notebooks\fase4_eda\f4_m06_correlaciones.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m07_seleccion_features.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m08_perfiles_riesgo.ipynb
Python (TFM Abandono) | notebooks\fase4_eda\f4_m09_conclusiones_eda.ipynb
Python (TFM Abandono) | notebooks\fase_automl\comprobar_existe_parquet.ipynb
Python (TFM Abandono) | notebooks\fase_automl\comproba_parquet_2.ipynb
Python (TFM Abandono) | notebooks\fase_automl\fautoml_m00_indice.ipynb
Python (TFM Abandono) | notebooks\fase_automl\fautoml_m01_baselines.ipynb
Python (LazyPredict) | notebooks\fase_automl\fautoml_m02_lazypredict.ipynb
Python (PyCaret) | notebooks\fase_automl\fautoml_m03_pycaret.ipynb
Python (H2O) | notebooks\fase_automl\fautoml_m04_h2o.ipynb
Python (AutoGluon) | notebooks\fase_automl\fautoml_m05_autogluon.ipynb
Python (TFM Abandono) | notebooks\fase_automl\fautoml_m06_comparativa.ipynb
Python (TFM Abandono) | notebooks\fase_automl\fautoml_setup_entornos.ipynb
